QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_STATE_FIPS,DEST_STATE_FIPS,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,DISTANCE,Destination,Carrier_index,Origin,ARR_DELAY,class,class2
4,10,8,7,47,13,700,918,78.0,332.0,22,6,236,10.0,2,2
2,6,2,5,32,48,1130,1635,185.0,1222.0,176,20,204,-15.0,0,1
4,11,14,2,17,6,1140,1425,285.0,1844.0,266,23,234,140.0,5,3
3,7,20,4,13,47,1105,1110,65.0,214.0,43,6,22,-3.0,1,1
1,1,30,1,6,6,850,1025,95.0,372.0,338,18,353,-14.0,0,1
1,1,15,7,6,36,1030,1852,322.0,2475.0,196,3,206,-19.0,0,1
2,4,27,4,13,21,1421,1545,84.0,373.0,88,6,22,21.0,3,2
2,5,28,7,15,53,2205,651,346.0,2677.0,336,6,164,-18.0,0,1
4,12,20,3,6,24,620,1425,305.0,2447.0,57,23,266,-8.0,0,1
1,2,27,1,25,26,655,922,147.0,632.0,105,6,45,-15.0,0,1
2,6,16,5,12,47,1155,1245,110.0,612.0,43,23,373,7.0,2,2
4,12,6,3,36,39,630,811,101.0,419.0,74,7,215,-3.0,1,1
3,7,9,7,4,18,1210,1835,205.0,1488.0,184,23,290,-7.0,0,1
2,5,21,7,20,48,755,937,102.0,431.0,97,7,240,26.0,3,2
1,1,30,1,34,12,1225,1512,167.0,977.0,129,15,8,-21.0,0,1
3,8,21,1,17,48,515,734,139.0,802.0,97,1,274,-1.0,1,1
4,11,24,5,35,48,1605,1900,115.0,759.0,166,23,2,17.0,2,2
3,9,30,6,42,8,1330,1541,251.0,1558.0,96,8,289,-27.0,0,1
3,9,10,7,6,6,1000,1105,65.0,325.0,56,23,266,3.0,1,1
1,2,24,5,6,6,1650,1805,75.0,342.0,344,23,353,33.0,3,2
4,11,19,7,48,6,1843,2014,211.0,1242.0,206,20,24,-20.0,0,1
1,1,8,7,22,13,915,1135,80.0,425.0,22,23,259,13.0,2,2
3,7,12,3,6,13,530,1250,260.0,1947.0,22,6,206,-3.0,1,1
1,3,22,3,47,37,1740,2023,103.0,511.0,76,1,236,1.0,1,1
1,1,24,2,36,25,1900,2030,90.0,184.0,45,6,215,84.0,5,3
2,4,11,2,34,4,1655,1925,330.0,2133.0,290,23,121,10.0,2,2
4,11,3,5,8,12,1015,1540,205.0,1506.0,373,23,96,-9.0,0,1
3,9,29,5,15,15,655,749,54.0,216.0,191,11,164,0.0,1,1
4,10,8,7,72,37,1445,1837,232.0,1475.0,76,1,346,-12.0,0,1
2,5,24,3,17,26,724,942,78.0,235.0,105,18,274,-12.0,0,1
2,5,14,7,48,55,1440,1655,135.0,850.0,244,23,92,-5.0,1,1
4,12,21,4,39,17,1100,1131,91.0,316.0,274,20,74,1.0,1,1
1,3,7,2,47,13,1657,1819,82.0,227.0,22,7,374,-4.0,1,1
3,7,16,7,41,53,1345,1437,52.0,129.0,336,2,284,12.0,2,2
2,6,27,2,4,32,545,700,75.0,365.0,204,23,378,-9.0,0,1
1,2,14,2,48,48,641,753,72.0,224.0,176,20,97,-6.0,0,1
2,6,18,7,29,17,1630,1735,65.0,251.0,234,23,360,4.0,1,1
1,1,6,5,12,25,1203,1453,170.0,1121.0,45,15,232,-9.0,0,1
4,12,12,2,15,15,1718,1753,35.0,102.0,164,11,217,7.0,2,2
1,1,15,7,22,48,700,750,50.0,127.0,176,7,211,3.0,1,1
1,2,7,2,13,37,1224,1340,76.0,226.0,76,1,22,-3.0,1,1
2,5,8,1,17,26,1355,1618,83.0,235.0,105,20,274,-7.0,0,1
3,9,22,5,48,48,920,1021,61.0,191.0,176,20,327,-14.0,0,1
3,8,2,3,6,8,1245,1614,149.0,853.0,96,8,326,-10.0,0,1
4,11,12,7,13,29,1422,1504,102.0,484.0,360,6,22,-10.0,0,1
1,2,4,6,5,13,605,905,120.0,589.0,22,6,395,-16.0,0,1
2,4,21,5,4,25,1230,2028,298.0,2300.0,45,1,290,74.0,5,3
2,6,27,2,48,48,2140,2230,50.0,189.0,24,23,92,32.0,3,2
3,7,18,2,8,49,1910,2042,92.0,391.0,348,8,96,-6.0,0,1
4,11,11,6,24,36,1425,1525,60.0,220.0,189,23,57,26.0,3,2
1,2,24,5,24,8,1520,1730,250.0,1491.0,96,23,57,-19.0,0,1
4,12,19,2,25,6,1745,2142,417.0,2611.0,206,1,45,48.0,4,2
